orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Passagens e Despesas com Locomoção;PASSAGENS PARA O PAIS;13343.36
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Material de Consumo;MATERIAL DE CONSUMO - PAGTO ANTECIPADO;2000
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Material de Consumo;FERRAMENTAS;3861.1
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Material de Consumo;MATERIAL P/ MANUTENCAO DE BENS MOVEIS;579.4
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Material de Consumo;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;103542
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL;Material de Consumo;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;1881
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA;Tecnologia da Informação e Comunicação;SERVICOS DE TIC PESSOA JURIDICA - PAGAMENTO ANTECIPADO;0
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;Contratação Temporária;AUXILIO-CRECHE;1219.8
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;Contratação Temporária;AUXILIO-ALIMENTACAO;14176.91
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Passagens e Despesas com Locomoção;AUXILIO-TRANSPORTE ESTAGIARIOS;18780
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO;Tecnologia da Informação e Comunicação;SERVICOS TECNICOS PROFISSIONAIS DE TIC;3000
